order_item_id,order_id,product_id,quantity,unit_price,line_total,customer_id,order_datetime,payment_method,order_status,discount_code,discount_pct,discount_amount,shipping_fee,gross_amount,net_revenue,is_rto,product_name,collection,category,price,unit_cost,signup_date,city,acquisition_channel,age_group
1,1,3,1,1299.0,1299.0,1,2025-09-02 14:02:00,Prepaid,Delivered,NONE,0,0.0,0,2298.0,2298.0,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-09-02,Nagpur,Organic/Direct,18-22
2,1,1,1,999.0,999.0,1,2025-09-02 14:02:00,Prepaid,Delivered,NONE,0,0.0,0,2298.0,2298.0,0,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-09-02,Nagpur,Organic/Direct,18-22
3,2,5,2,1099.0,2198.0,2,2025-09-02 10:19:00,COD,Delivered,FESTIVE20,20,679.4,0,3397.0,2717.6,0,Men's Polo,Blanc,Polo,1099,550.0,2025-09-02,Mumbai,Organic/Direct,18-22
4,2,4,1,1199.0,1199.0,2,2025-09-02 10:19:00,COD,Delivered,FESTIVE20,20,679.4,0,3397.0,2717.6,0,Acid Wash Tee,Noir,Tee,1199,576.0,2025-09-02,Mumbai,Organic/Direct,18-22
5,3,7,1,1499.0,1499.0,3,2025-09-03 17:47:00,COD,Delivered,NONE,0,0.0,0,3797.0,3797.0,0,Sweatpants,Noir,Bottoms,1499,735.0,2025-09-03,Delhi,Referral,28-34
6,3,3,1,1299.0,1299.0,3,2025-09-03 17:47:00,COD,Delivered,NONE,0,0.0,0,3797.0,3797.0,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-09-03,Delhi,Referral,28-34
7,3,1,1,999.0,999.0,3,2025-09-03 17:47:00,COD,Delivered,NONE,0,0.0,0,3797.0,3797.0,0,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-09-03,Delhi,Referral,28-34
8,4,3,1,1299.0,1299.0,4,2025-09-04 11:38:00,COD,Delivered,FESTIVE20,20,259.8,49,1299.0,1088.2,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-09-04,Nashik,Organic/Direct,28-34
9,5,6,1,1599.0,1599.0,5,2025-09-08 15:18:00,COD,Delivered,NONE,0,0.0,0,1599.0,1599.0,0,Oversized Shirt,Noir,Shirt,1599,752.0,2025-09-08,Delhi,Instagram Ads,23-27
10,6,11,1,2299.0,2299.0,6,2025-09-08 13:27:00,COD,RTO,FESTIVE20,20,599.6,0,2998.0,2398.4,1,Blanc Essentials Combo,Blanc,Combo,2299,1150.0,2025-09-08,Nashik,Instagram Ads,23-27
11,6,8,1,699.0,699.0,6,2025-09-08 13:27:00,COD,RTO,FESTIVE20,20,599.6,0,2998.0,2398.4,1,Baseball Cap,Blanc,Accessory,699,384.0,2025-09-08,Nashik,Instagram Ads,23-27
12,7,8,1,699.0,699.0,7,2025-09-09 09:09:00,Prepaid,Delivered,NONE,0,0.0,0,699.0,699.0,0,Baseball Cap,Blanc,Accessory,699,384.0,2025-09-09,Pune,Google Ads,18-22
13,8,4,2,1199.0,2398.0,8,2025-09-10 10:29:00,COD,RTO,REF10,10,589.7,0,5897.0,5307.3,1,Acid Wash Tee,Noir,Tee,1199,576.0,2025-09-10,Delhi,Organic/Direct,18-22
14,8,12,1,3499.0,3499.0,8,2025-09-10 10:29:00,COD,RTO,REF10,10,589.7,0,5897.0,5307.3,1,Full Fit Combo,Noir,Combo,3499,1715.0,2025-09-10,Delhi,Organic/Direct,18-22
15,9,8,1,699.0,699.0,9,2025-09-12 11:22:00,COD,RTO,WELCOME10,10,219.8,0,2198.0,1978.2,1,Baseball Cap,Blanc,Accessory,699,384.0,2025-09-12,Mumbai,Instagram Ads,23-27
16,9,7,1,1499.0,1499.0,9,2025-09-12 11:22:00,COD,RTO,WELCOME10,10,219.8,0,2198.0,1978.2,1,Sweatpants,Noir,Bottoms,1499,735.0,2025-09-12,Mumbai,Instagram Ads,23-27
17,10,6,1,1599.0,1599.0,10,2025-09-12 15:51:00,COD,Delivered,NONE,0,0.0,0,1599.0,1599.0,0,Oversized Shirt,Noir,Shirt,1599,752.0,2025-09-12,Lucknow,Organic/Direct,35+
18,11,6,1,1599.0,1599.0,11,2025-09-12 19:12:00,COD,RTO,NONE,0,0.0,0,1599.0,1599.0,1,Oversized Shirt,Noir,Shirt,1599,752.0,2025-09-12,Mumbai,Organic/Direct,28-34
19,12,11,2,2299.0,4598.0,12,2025-09-13 18:37:00,COD,Delivered,WELCOME10,10,459.8,0,4598.0,4138.2,0,Blanc Essentials Combo,Blanc,Combo,2299,1150.0,2025-09-13,Ahmedabad,Instagram Ads,18-22
20,13,2,2,999.0,1998.0,13,2025-09-13 16:00:00,COD,Delivered,NONE,0,0.0,0,1998.0,1998.0,0,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-09-13,Pune,Organic/Direct,28-34
21,14,4,1,1199.0,1199.0,14,2025-09-18 12:43:00,COD,Delivered,WELCOME10,10,119.9,49,1199.0,1128.1,0,Acid Wash Tee,Noir,Tee,1199,576.0,2025-09-18,Bengaluru,Organic/Direct,23-27
22,15,11,1,2299.0,2299.0,15,2025-09-20 20:40:00,COD,Delivered,NONE,0,0.0,0,2299.0,2299.0,0,Blanc Essentials Combo,Blanc,Combo,2299,1150.0,2025-09-20,Bengaluru,Organic/Direct,23-27
23,16,3,2,1299.0,2598.0,16,2025-09-21 09:44:00,COD,RTO,NONE,0,0.0,0,2598.0,2598.0,1,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-09-21,Mumbai,Organic/Direct,23-27
24,17,3,1,1299.0,1299.0,17,2025-09-21 17:05:00,COD,RTO,REF10,10,329.7,0,3297.0,2967.3,1,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-09-21,Mumbai,Organic/Direct,23-27
25,17,2,2,999.0,1998.0,17,2025-09-21 17:05:00,COD,RTO,REF10,10,329.7,0,3297.0,2967.3,1,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-09-21,Mumbai,Organic/Direct,23-27
26,18,4,1,1199.0,1199.0,18,2025-09-24 22:52:00,COD,Delivered,NONE,0,0.0,0,2498.0,2498.0,0,Acid Wash Tee,Noir,Tee,1199,576.0,2025-09-24,Kolkata,Instagram Ads,23-27
27,18,3,1,1299.0,1299.0,18,2025-09-24 22:52:00,COD,Delivered,NONE,0,0.0,0,2498.0,2498.0,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-09-24,Kolkata,Instagram Ads,23-27
28,19,3,1,1299.0,1299.0,19,2025-09-25 14:32:00,COD,Delivered,NONE,0,0.0,0,2498.0,2498.0,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-09-25,Delhi,Organic/Direct,28-34
29,19,4,1,1199.0,1199.0,19,2025-09-25 14:32:00,COD,Delivered,NONE,0,0.0,0,2498.0,2498.0,0,Acid Wash Tee,Noir,Tee,1199,576.0,2025-09-25,Delhi,Organic/Direct,28-34
30,20,3,1,1299.0,1299.0,20,2025-09-26 12:11:00,COD,Delivered,WELCOME10,10,479.8,0,4798.0,4318.2,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-09-26,Bengaluru,Instagram Ads,18-22
31,20,12,1,3499.0,3499.0,20,2025-09-26 12:11:00,COD,Delivered,WELCOME10,10,479.8,0,4798.0,4318.2,0,Full Fit Combo,Noir,Combo,3499,1715.0,2025-09-26,Bengaluru,Instagram Ads,18-22
32,21,5,1,1099.0,1099.0,21,2025-09-26 17:24:00,COD,Delivered,REF10,10,109.9,49,1099.0,1038.1,0,Men's Polo,Blanc,Polo,1099,550.0,2025-09-26,Ahmedabad,Instagram Ads,18-22
33,22,8,1,699.0,699.0,22,2025-09-28 18:43:00,COD,Delivered,REF10,10,69.9,49,699.0,678.1,0,Baseball Cap,Blanc,Accessory,699,384.0,2025-09-28,Nagpur,Instagram Ads,23-27
34,23,1,2,999.0,1998.0,16,2025-09-28 14:05:00,COD,RTO,REF10,10,199.8,0,1998.0,1798.2,1,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-09-21,Mumbai,Organic/Direct,23-27
35,24,4,1,1199.0,1199.0,23,2025-09-29 22:30:00,COD,Delivered,NONE,0,0.0,49,1199.0,1248.0,0,Acid Wash Tee,Noir,Tee,1199,576.0,2025-09-29,Delhi,Instagram Ads,23-27
36,25,7,1,1499.0,1499.0,24,2025-09-30 16:54:00,COD,Cancelled,NONE,0,0.0,0,4096.0,4096.0,0,Sweatpants,Noir,Bottoms,1499,735.0,2025-09-30,Hyderabad,Instagram Ads,18-22
37,25,4,1,1199.0,1199.0,24,2025-09-30 16:54:00,COD,Cancelled,NONE,0,0.0,0,4096.0,4096.0,0,Acid Wash Tee,Noir,Tee,1199,576.0,2025-09-30,Hyderabad,Instagram Ads,18-22
38,25,8,2,699.0,1398.0,24,2025-09-30 16:54:00,COD,Cancelled,NONE,0,0.0,0,4096.0,4096.0,0,Baseball Cap,Blanc,Accessory,699,384.0,2025-09-30,Hyderabad,Instagram Ads,18-22
39,26,1,2,999.0,1998.0,25,2025-10-05 14:50:00,COD,Delivered,FESTIVE20,20,399.6,0,1998.0,1598.4,0,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-10-05,Jaipur,Instagram Ads,28-34
40,27,8,1,699.0,699.0,26,2025-10-06 17:05:00,COD,RTO,REF10,10,69.9,49,699.0,678.1,1,Baseball Cap,Blanc,Accessory,699,384.0,2025-10-06,Kolkata,Organic/Direct,23-27
41,28,10,1,2199.0,2199.0,27,2025-10-06 17:13:00,COD,Delivered,REF10,10,449.8,0,4498.0,4048.2,0,Noir Starter Combo,Noir,Combo,2199,1121.0,2025-10-06,Nagpur,Organic/Direct,23-27
42,28,11,1,2299.0,2299.0,27,2025-10-06 17:13:00,COD,Delivered,REF10,10,449.8,0,4498.0,4048.2,0,Blanc Essentials Combo,Blanc,Combo,2299,1150.0,2025-10-06,Nagpur,Organic/Direct,23-27
43,29,2,1,999.0,999.0,28,2025-10-08 14:22:00,COD,Delivered,NONE,0,0.0,0,3298.0,3298.0,0,Oversized Tee - Blanc,Blanc,Tee,999,519.0,2025-10-08,Nashik,Instagram Ads,23-27
44,29,11,1,2299.0,2299.0,28,2025-10-08 14:22:00,COD,Delivered,NONE,0,0.0,0,3298.0,3298.0,0,Blanc Essentials Combo,Blanc,Combo,2299,1150.0,2025-10-08,Nashik,Instagram Ads,23-27
45,30,9,1,999.0,999.0,29,2025-10-09 22:14:00,COD,Delivered,NONE,0,0.0,0,3198.0,3198.0,0,Terry Shorts,Blanc,Bottoms,999,500.0,2025-10-09,Mumbai,Influencer,23-27
46,30,10,1,2199.0,2199.0,29,2025-10-09 22:14:00,COD,Delivered,NONE,0,0.0,0,3198.0,3198.0,0,Noir Starter Combo,Noir,Combo,2199,1121.0,2025-10-09,Mumbai,Influencer,23-27
47,31,3,1,1299.0,1299.0,30,2025-10-09 18:04:00,COD,Delivered,NONE,0,0.0,49,1299.0,1348.0,0,Terry Oversized Tee,Noir,Tee,1299,650.0,2025-10-09,Delhi,Instagram Ads,23-27
48,32,12,1,3499.0,3499.0,31,2025-10-09 10:38:00,COD,Delivered,NONE,0,0.0,0,5697.0,5697.0,0,Full Fit Combo,Noir,Combo,3499,1715.0,2025-10-09,Nagpur,Instagram Ads,35+
49,32,1,1,999.0,999.0,31,2025-10-09 10:38:00,COD,Delivered,NONE,0,0.0,0,5697.0,5697.0,0,Oversized Tee - Noir,Noir,Tee,999,519.0,2025-10-09,Nagpur,Instagram Ads,35+
50,32,4,1,1199.0,1199.0,31,2025-10-09 10:38:00,COD,Delivered,NONE,0,0.0,0,5697.0,5697.0,0,Acid Wash Tee,Noir,Tee,1199,576.0,2025-10-09,Nagpur,Instagram Ads,35+
51,33,10,1,2199.0,2199.0,32,2025-10-11 17:25:00,COD,Delivered,WELCOME10,10,219.9,0,2199.0,1979.1,0,Noir Starter Combo,Noir,Combo,2199,1121.0,2025-10-11,Mumbai,Instagram Ads,23-27
52,34,7,1,1499.0,1499.0,33,2025-10-11 20:58:00,COD,Delivered,NONE,0,0.0,0,1499.0,1499.0,0,Sweatpants,Noir,Bottoms,1499,735.0,2025-10-11,Indore,Instagram Ads,18-22
53,35,12,1,3499.0,3499.0,34,2025-10-11 13:27:00,COD,RTO,NONE,0,0.0,0,6697.0,6697.0,1,Full Fit Combo,Noir,Combo,3499,1715.0,2025-10-11,Indore,Organic/Direct,23-27
54,35,6,2,1599.0,3198.0,34,2025-10-11 13:27:00,COD,RTO,NONE,0,0.0,0,6697.0,6697.0,1,Oversized Shirt,Noir,Shirt,1599,752.0,2025-10-11,Indore,Organic/Direct,23-27
