customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
1,364,1,2298.0,1,1,2,4,Needs Attention
2,364,1,2717.6,1,1,3,5,Needs Attention
3,363,1,3797.0,1,1,3,5,Needs Attention
4,362,1,1088.2,1,1,1,3,Needs Attention
5,358,1,1599.0,1,1,2,4,Needs Attention
7,105,2,4351.45,3,4,4,11,Champions
8,274,1,5128.2,1,1,4,6,Needs Attention
10,53,3,3875.2,4,4,3,11,Champions
12,353,1,4138.2,1,1,4,6,Needs Attention
13,353,1,1998.0,1,1,2,4,Needs Attention
14,348,1,1128.1,1,1,1,3,Needs Attention
15,346,1,2299.0,1,1,3,5,Needs Attention
18,186,3,6944.2,2,4,4,10,Champions
19,341,1,2498.0,1,1,3,5,Needs Attention
20,340,1,4318.2,1,1,4,6,Needs Attention
21,35,6,16007.0,4,4,4,12,Champions
22,322,2,1977.1,1,4,2,7,At Risk (was loyal)
23,336,1,1248.0,1,1,1,3,Needs Attention
25,331,1,1598.4,1,1,2,4,Needs Attention
27,330,1,4048.2,1,1,4,6,Needs Attention
28,151,2,5277.1,2,4,4,10,Champions
29,95,2,5497.0,3,4,4,11,Champions
30,270,2,2452.15,1,4,3,8,Loyal Customers
31,327,1,5697.0,1,1,4,6,Needs Attention
32,325,1,1979.1,1,1,2,4,Needs Attention
33,316,2,2247.0,1,4,2,7,At Risk (was loyal)
34,272,1,1898.0,1,1,2,4,Needs Attention
35,325,1,1488.1,1,1,2,4,Needs Attention
36,9,3,7852.7,4,4,4,12,Champions
37,240,2,7504.2,1,4,4,9,Loyal Customers
38,21,2,5145.45,4,4,4,12,Champions
39,322,1,1079.1,1,1,1,3,Needs Attention
40,322,1,678.1,1,1,1,3,Needs Attention
41,317,2,8795.0,1,4,4,9,Loyal Customers
42,11,2,1696.1,4,4,2,10,Champions
43,128,1,1008.2,3,1,1,5,New / Recent
45,320,1,1798.2,1,1,2,4,Needs Attention
47,103,2,2846.2,3,4,3,10,Champions
48,319,1,4048.2,1,1,4,6,Needs Attention
49,51,1,1998.0,4,1,2,7,New / Recent
50,318,1,999.0,1,1,1,3,Needs Attention
51,318,1,2398.4,1,1,3,5,Needs Attention
52,28,3,3976.3,4,4,3,11,Champions
53,36,1,2299.0,4,1,3,8,Loyal Customers
