customer_id,signup_date,city,acquisition_channel,age_group
1,2025-09-02,Nagpur,Organic/Direct,18-22
2,2025-09-02,Mumbai,Organic/Direct,18-22
3,2025-09-03,Delhi,Referral,28-34
4,2025-09-04,Nashik,Organic/Direct,28-34
5,2025-09-08,Delhi,Instagram Ads,23-27
6,2025-09-08,Nashik,Instagram Ads,23-27
7,2025-09-09,Pune,Google Ads,18-22
8,2025-09-10,Delhi,Organic/Direct,18-22
9,2025-09-12,Mumbai,Instagram Ads,23-27
10,2025-09-12,Lucknow,Organic/Direct,35+
11,2025-09-12,Mumbai,Organic/Direct,28-34
12,2025-09-13,Ahmedabad,Instagram Ads,18-22
13,2025-09-13,Pune,Organic/Direct,28-34
14,2025-09-18,Bengaluru,Organic/Direct,23-27
15,2025-09-20,Bengaluru,Organic/Direct,23-27
16,2025-09-21,Mumbai,Organic/Direct,23-27
17,2025-09-21,Mumbai,Organic/Direct,23-27
18,2025-09-24,Kolkata,Instagram Ads,23-27
19,2025-09-25,Delhi,Organic/Direct,28-34
20,2025-09-26,Bengaluru,Instagram Ads,18-22
21,2025-09-26,Ahmedabad,Instagram Ads,18-22
22,2025-09-28,Nagpur,Instagram Ads,23-27
23,2025-09-29,Delhi,Instagram Ads,23-27
24,2025-09-30,Hyderabad,Instagram Ads,18-22
25,2025-10-05,Jaipur,Instagram Ads,28-34
26,2025-10-06,Kolkata,Organic/Direct,23-27
27,2025-10-06,Nagpur,Organic/Direct,23-27
28,2025-10-08,Nashik,Instagram Ads,23-27
29,2025-10-09,Mumbai,Influencer,23-27
30,2025-10-09,Delhi,Instagram Ads,23-27
31,2025-10-09,Nagpur,Instagram Ads,35+
32,2025-10-11,Mumbai,Instagram Ads,23-27
33,2025-10-11,Indore,Instagram Ads,18-22
34,2025-10-11,Indore,Organic/Direct,23-27
35,2025-10-11,Kolkata,Organic/Direct,18-22
36,2025-10-11,Lucknow,Referral,18-22
37,2025-10-12,Pune,Organic/Direct,28-34
38,2025-10-12,Hyderabad,Instagram Ads,18-22
39,2025-10-14,Lucknow,Influencer,18-22
40,2025-10-14,Delhi,Organic/Direct,23-27
41,2025-10-15,Pune,Organic/Direct,23-27
42,2025-10-16,Bengaluru,Instagram Ads,23-27
43,2025-10-16,Nagpur,Organic/Direct,23-27
44,2025-10-16,Indore,Instagram Ads,35+
45,2025-10-16,Bengaluru,Influencer,23-27
46,2025-10-17,Pune,Referral,28-34
47,2025-10-17,Lucknow,Organic/Direct,23-27
48,2025-10-17,Delhi,Organic/Direct,23-27
49,2025-10-18,Nashik,Organic/Direct,18-22
50,2025-10-18,Lucknow,Instagram Ads,28-34
51,2025-10-18,Mumbai,Influencer,18-22
52,2025-10-18,Mumbai,Organic/Direct,23-27
53,2025-10-19,Indore,Referral,18-22
54,2025-10-21,Pune,Instagram Ads,35+
55,2025-10-21,Bengaluru,Instagram Ads,23-27
56,2025-10-21,Pune,Instagram Ads,23-27
57,2025-10-22,Indore,Organic/Direct,23-27
58,2025-10-22,Jaipur,Google Ads,18-22
59,2025-10-22,Nagpur,Referral,28-34
60,2025-10-23,Ahmedabad,Influencer,18-22
61,2025-10-23,Lucknow,Instagram Ads,18-22
62,2025-10-23,Pune,Influencer,23-27
63,2025-10-23,Mumbai,Organic/Direct,23-27
64,2025-10-24,Nagpur,Instagram Ads,18-22
65,2025-10-25,Nagpur,Organic/Direct,28-34
66,2025-10-26,Mumbai,Referral,35+
67,2025-10-26,Nagpur,Organic/Direct,18-22
68,2025-10-26,Delhi,Referral,18-22
69,2025-10-28,Mumbai,Instagram Ads,18-22
70,2025-10-28,Bengaluru,Referral,28-34
71,2025-10-28,Lucknow,Google Ads,23-27
72,2025-10-29,Nashik,Organic/Direct,23-27
73,2025-10-30,Mumbai,Instagram Ads,18-22
74,2025-11-01,Delhi,Instagram Ads,18-22
75,2025-11-01,Kolkata,Influencer,23-27
76,2025-11-01,Hyderabad,Instagram Ads,28-34
77,2025-11-02,Mumbai,Referral,23-27
78,2025-11-02,Nagpur,Influencer,35+
79,2025-11-02,Ahmedabad,Organic/Direct,23-27
80,2025-11-03,Hyderabad,Organic/Direct,23-27
81,2025-11-03,Mumbai,Organic/Direct,18-22
82,2025-11-04,Nagpur,Instagram Ads,23-27
83,2025-11-04,Nagpur,Referral,18-22
84,2025-11-05,Hyderabad,Organic/Direct,23-27
85,2025-11-06,Indore,Influencer,18-22
86,2025-11-06,Nagpur,Google Ads,18-22
87,2025-11-07,Delhi,Influencer,18-22
88,2025-11-08,Kolkata,Instagram Ads,23-27
89,2025-11-08,Nagpur,Influencer,23-27
90,2025-11-09,Lucknow,Organic/Direct,28-34
91,2025-11-09,Bengaluru,Instagram Ads,23-27
