date,channel,spend,impressions,clicks
2025-09-01,Instagram Ads,250.3,11705,255
2025-09-01,Influencer,165.15,6533,139
2025-09-01,Google Ads,127.77,5361,117
2025-09-02,Instagram Ads,264.35,14385,498
2025-09-02,Influencer,157.17,5504,181
2025-09-02,Google Ads,104.21,4410,139
2025-09-03,Instagram Ads,234.97,8383,263
2025-09-03,Influencer,154.13,6436,128
2025-09-03,Google Ads,105.63,4136,88
2025-09-04,Instagram Ads,270.48,14235,365
2025-09-04,Influencer,173.32,8711,246
2025-09-04,Google Ads,84.75,4435,105
2025-09-05,Instagram Ads,181.63,7245,219
2025-09-05,Influencer,111.22,4220,121
2025-09-05,Google Ads,123.56,5890,114
2025-09-06,Instagram Ads,183.01,8656,138
2025-09-06,Influencer,160.14,6327,209
2025-09-06,Google Ads,98.51,3889,124
2025-09-07,Instagram Ads,213.11,8765,277
2025-09-07,Influencer,132.79,5736,125
2025-09-07,Google Ads,76.98,2754,81
2025-09-08,Instagram Ads,271.77,11046,230
2025-09-08,Influencer,190.05,10405,254
2025-09-08,Google Ads,118.15,5876,123
2025-09-09,Instagram Ads,183.78,6956,220
2025-09-09,Influencer,170.81,8247,145
2025-09-09,Google Ads,108.4,5468,176
2025-09-10,Instagram Ads,176.98,8617,132
2025-09-10,Influencer,168.62,8045,144
2025-09-10,Google Ads,115.97,4217,132
2025-09-11,Instagram Ads,214.29,10452,349
2025-09-11,Influencer,135.58,6108,148
2025-09-11,Google Ads,79.46,3719,111
2025-09-12,Instagram Ads,312.53,16256,409
2025-09-12,Influencer,169.71,8657,215
2025-09-12,Google Ads,76.93,3366,107
2025-09-13,Instagram Ads,264.5,13089,244
2025-09-13,Influencer,191.79,8262,231
2025-09-13,Google Ads,71.13,2670,81
2025-09-14,Instagram Ads,320.2,13256,208
2025-09-14,Influencer,137.48,4859,91
2025-09-14,Google Ads,115.15,6188,103
2025-09-15,Instagram Ads,258.69,10367,184
2025-09-15,Influencer,124.71,5805,94
2025-09-15,Google Ads,96.05,3621,74
2025-09-16,Instagram Ads,203.61,10722,312
2025-09-16,Influencer,183.16,7815,166
2025-09-16,Google Ads,92.84,3283,96
2025-09-17,Instagram Ads,227.47,9386,253
2025-09-17,Influencer,144.26,7879,174
2025-09-17,Google Ads,106.83,4404,153
2025-09-18,Instagram Ads,241.77,11528,202
2025-09-18,Influencer,170.97,6904,165
2025-09-18,Google Ads,122.99,6692,157
2025-09-19,Instagram Ads,300.22,10828,345
2025-09-19,Influencer,161.66,7238,237
2025-09-19,Google Ads,120.72,4942,152
2025-09-20,Instagram Ads,189.92,9772,278
2025-09-20,Influencer,112.91,5494,146
2025-09-20,Google Ads,105.67,4313,87
2025-09-21,Instagram Ads,289.38,11614,277
2025-09-21,Influencer,167.53,6130,164
2025-09-21,Google Ads,105.36,5129,114
2025-09-22,Instagram Ads,242.35,10081,314
2025-09-22,Influencer,116.75,6334,175
2025-09-22,Google Ads,123.21,5362,116
2025-09-23,Instagram Ads,310.11,11467,198
2025-09-23,Influencer,131.94,7150,197
2025-09-23,Google Ads,103.25,5070,118
2025-09-24,Instagram Ads,288.71,12375,390
2025-09-24,Influencer,129.06,5233,133
2025-09-24,Google Ads,95.85,4597,102
2025-09-25,Instagram Ads,209.58,9304,243
2025-09-25,Influencer,117.83,5436,116
2025-09-25,Google Ads,93.55,3796,127
2025-09-26,Instagram Ads,277.5,11169,311
2025-09-26,Influencer,181.37,7804,246
2025-09-26,Google Ads,79.26,4078,105
2025-09-27,Instagram Ads,208.45,8993,312
2025-09-27,Influencer,175.52,8161,141
2025-09-27,Google Ads,95.07,3827,62
2025-09-28,Instagram Ads,256.33,13530,385
2025-09-28,Influencer,127.47,5923,200
2025-09-28,Google Ads,113.37,5531,190
2025-09-29,Instagram Ads,294.83,11124,244
2025-09-29,Influencer,191.86,8594,148
2025-09-29,Google Ads,97.52,4772,166
2025-09-30,Instagram Ads,223.59,10124,329
2025-09-30,Influencer,136.97,5093,173
2025-09-30,Google Ads,99.31,4474,122
2025-10-01,Instagram Ads,203.62,10918,242
2025-10-01,Influencer,163.24,6281,141
2025-10-01,Google Ads,137.15,6994,235
2025-10-02,Instagram Ads,273.16,13432,337
2025-10-02,Influencer,205.74,10132,226
2025-10-02,Google Ads,104.63,4190,111
2025-10-03,Instagram Ads,370.71,14458,244
2025-10-03,Influencer,134.27,6802,149
2025-10-03,Google Ads,96.82,4071,113
2025-10-04,Instagram Ads,298.14,14868,323
2025-10-04,Influencer,168.99,6259,103
2025-10-04,Google Ads,113.37,4651,126
2025-10-05,Instagram Ads,210.48,7879,254
2025-10-05,Influencer,180.92,8908,283
2025-10-05,Google Ads,113.48,5699,145
2025-10-06,Instagram Ads,241.76,10094,250
2025-10-06,Influencer,154.88,6460,140
2025-10-06,Google Ads,89.75,3293,52
2025-10-07,Instagram Ads,222.31,9309,250
2025-10-07,Influencer,141.44,7462,232
2025-10-07,Google Ads,117.43,5810,129
2025-10-08,Instagram Ads,209.4,11116,195
2025-10-08,Influencer,220.76,10251,216
2025-10-08,Google Ads,115.69,5209,80
2025-10-09,Instagram Ads,264.85,13188,332
2025-10-09,Influencer,147.3,6142,198
2025-10-09,Google Ads,117.78,5366,183
2025-10-10,Instagram Ads,258.83,11541,360
2025-10-10,Influencer,201.03,8104,146
2025-10-10,Google Ads,129.97,5218,174
2025-10-11,Instagram Ads,225.49,9327,150
2025-10-11,Influencer,195.23,10313,285
2025-10-11,Google Ads,146.47,5502,92
2025-10-12,Instagram Ads,348.88,18180,574
2025-10-12,Influencer,205.21,8669,167
2025-10-12,Google Ads,145.84,5999,137
2025-10-13,Instagram Ads,324.72,13270,416
2025-10-13,Influencer,129.11,6561,177
2025-10-13,Google Ads,121.08,5347,109
2025-10-14,Instagram Ads,283.75,12485,333
2025-10-14,Influencer,151.2,5526,98
2025-10-14,Google Ads,129.86,4603,147
2025-10-15,Instagram Ads,323.83,16308,517
2025-10-15,Influencer,134.61,6925,173
2025-10-15,Google Ads,142.83,7531,116
2025-10-16,Instagram Ads,269.62,12275,350
2025-10-16,Influencer,151.68,6073,137
2025-10-16,Google Ads,116.07,6270,189
2025-10-17,Instagram Ads,277.7,10021,184
2025-10-17,Influencer,169.4,8686,196
2025-10-17,Google Ads,118.68,6270,208
2025-10-18,Instagram Ads,240.54,8628,182
2025-10-18,Influencer,194.44,10504,173
2025-10-18,Google Ads,83.18,4382,131
2025-10-19,Instagram Ads,375.65,16128,376
2025-10-19,Influencer,139.79,5216,138
2025-10-19,Google Ads,106.55,3900,127
2025-10-20,Instagram Ads,237.51,11868,245
2025-10-20,Influencer,206.67,7722,232
2025-10-20,Google Ads,88.03,3867,114
2025-10-21,Instagram Ads,233.14,9491,306
2025-10-21,Influencer,214.21,7689,141
2025-10-21,Google Ads,89.38,3449,118
2025-10-22,Instagram Ads,298.99,13263,460
2025-10-22,Influencer,179.95,8677,187
2025-10-22,Google Ads,107.8,5054,82
2025-10-23,Instagram Ads,247.52,9637,147
2025-10-23,Influencer,177.85,8220,186
2025-10-23,Google Ads,99.9,4799,84
2025-10-24,Instagram Ads,293.24,14768,270
2025-10-24,Influencer,200.44,10065,163
2025-10-24,Google Ads,82.51,4495,84
2025-10-25,Instagram Ads,346.05,16000,324
2025-10-25,Influencer,135.37,6082,140
2025-10-25,Google Ads,129.84,6892,214
2025-10-26,Instagram Ads,250.75,13184,417
2025-10-26,Influencer,218.8,9665,293
2025-10-26,Google Ads,122.38,5043,175
2025-10-27,Instagram Ads,209.67,8018,263
2025-10-27,Influencer,128.12,6756,197
2025-10-27,Google Ads,83.75,3650,109
2025-10-28,Instagram Ads,304.46,16354,529
2025-10-28,Influencer,156.53,5743,194
2025-10-28,Google Ads,117.2,4276,133
2025-10-29,Instagram Ads,354.12,16922,405
2025-10-29,Influencer,190.93,9381,308
2025-10-29,Google Ads,147.73,6690,207
2025-10-30,Instagram Ads,370.82,14100,216
2025-10-30,Influencer,212.52,8268,131
2025-10-30,Google Ads,92.34,3941,76
2025-10-31,Instagram Ads,256.11,13959,406
2025-10-31,Influencer,196.15,7236,214
2025-10-31,Google Ads,132.66,6393,125
2025-11-01,Instagram Ads,314.76,16344,464
2025-11-01,Influencer,225.65,10548,253
2025-11-01,Google Ads,152.52,5545,157
2025-11-02,Instagram Ads,428.45,21681,451
2025-11-02,Influencer,171.6,8295,273
2025-11-02,Google Ads,138.17,6293,114
2025-11-03,Instagram Ads,372.66,18277,627
2025-11-03,Influencer,174.26,8735,206
2025-11-03,Google Ads,136.63,7013,136
2025-11-04,Instagram Ads,298.89,15083,398
2025-11-04,Influencer,149.58,6522,174
2025-11-04,Google Ads,164.43,6374,198
2025-11-05,Instagram Ads,256.86,10234,203
2025-11-05,Influencer,242.84,9465,290
2025-11-05,Google Ads,128.98,7091,225
2025-11-06,Instagram Ads,377.46,19784,547
2025-11-06,Influencer,238.83,9606,162
2025-11-06,Google Ads,141.18,6168,145
2025-11-07,Instagram Ads,335.3,14158,389
2025-11-07,Influencer,142.23,7737,259
2025-11-07,Google Ads,166.47,7041,180
2025-11-08,Instagram Ads,419.92,22275,686
2025-11-08,Influencer,186.99,8655,267
2025-11-08,Google Ads,114.02,5419,171
2025-11-09,Instagram Ads,371.08,16546,441
2025-11-09,Influencer,256.05,12044,369
2025-11-09,Google Ads,149.95,7352,215
2025-11-10,Instagram Ads,320.97,14277,347
2025-11-10,Influencer,142.55,5676,102
2025-11-10,Google Ads,162.61,6585,117
2025-11-11,Instagram Ads,254.71,12480,188
2025-11-11,Influencer,194.59,7273,232
2025-11-11,Google Ads,168.31,9118,217
2025-11-12,Instagram Ads,358.61,16852,370
2025-11-12,Influencer,191.35,6943,214
2025-11-12,Google Ads,111.47,4928,121
2025-11-13,Instagram Ads,342.02,17565,506
2025-11-13,Influencer,217.37,9897,167
2025-11-13,Google Ads,124.24,6727,234
2025-11-14,Instagram Ads,375.64,14856,253
2025-11-14,Influencer,187.87,9793,288
2025-11-14,Google Ads,162.4,7684,135
2025-11-15,Instagram Ads,253.73,9124,240
2025-11-15,Influencer,167.45,8320,238
2025-11-15,Google Ads,117.59,4531,77
2025-11-16,Instagram Ads,376.99,16590,356
