order_id,customer_id,order_datetime,payment_method,order_status,discount_code,discount_pct,discount_amount,shipping_fee,gross_amount,net_revenue
1,1,2025-09-02 14:02:00,Prepaid,Delivered,NONE,0,0.0,0,2298.0,2298.0
2,2,2025-09-02 10:19:00,COD,Delivered,FESTIVE20,20,679.4,0,3397.0,2717.6
3,3,2025-09-03 17:47:00,COD,Delivered,NONE,0,0.0,0,3797.0,3797.0
4,4,2025-09-04 11:38:00,COD,Delivered,FESTIVE20,20,259.8,49,1299.0,1088.2
5,5,2025-09-08 15:18:00,COD,Delivered,NONE,0,0.0,0,1599.0,1599.0
6,6,2025-09-08 13:27:00,COD,RTO,FESTIVE20,20,599.6,0,2998.0,2398.4
7,7,2025-09-09 09:09:00,Prepaid,Delivered,NONE,0,0.0,0,699.0,699.0
8,8,2025-09-10 10:29:00,COD,RTO,REF10,10,589.7,0,5897.0,5307.3
9,9,2025-09-12 11:22:00,COD,RTO,WELCOME10,10,219.8,0,2198.0,1978.2
10,10,2025-09-12 15:51:00,COD,Delivered,NONE,0,0.0,0,1599.0,1599.0
11,11,2025-09-12 19:12:00,COD,RTO,NONE,0,0.0,0,1599.0,1599.0
12,12,2025-09-13 18:37:00,COD,Delivered,WELCOME10,10,459.8,0,4598.0,4138.2
13,13,2025-09-13 16:00:00,COD,Delivered,NONE,0,0.0,0,1998.0,1998.0
14,14,2025-09-18 12:43:00,COD,Delivered,WELCOME10,10,119.9,49,1199.0,1128.1
15,15,2025-09-20 20:40:00,COD,Delivered,NONE,0,0.0,0,2299.0,2299.0
16,16,2025-09-21 09:44:00,COD,RTO,NONE,0,0.0,0,2598.0,2598.0
17,17,2025-09-21 17:05:00,COD,RTO,REF10,10,329.7,0,3297.0,2967.3
18,18,2025-09-24 22:52:00,COD,Delivered,NONE,0,0.0,0,2498.0,2498.0
19,19,2025-09-25 14:32:00,COD,Delivered,NONE,0,0.0,0,2498.0,2498.0
20,20,2025-09-26 12:11:00,COD,Delivered,WELCOME10,10,479.8,0,4798.0,4318.2
21,21,2025-09-26 17:24:00,COD,Delivered,REF10,10,109.9,49,1099.0,1038.1
22,22,2025-09-28 18:43:00,COD,Delivered,REF10,10,69.9,49,699.0,678.1
23,16,2025-09-28 14:05:00,COD,RTO,REF10,10,199.8,0,1998.0,1798.2
24,23,2025-09-29 22:30:00,COD,Delivered,NONE,0,0.0,49,1199.0,1248.0
25,24,2025-09-30 16:54:00,COD,Cancelled,NONE,0,0.0,0,4096.0,4096.0
26,25,2025-10-05 14:50:00,COD,Delivered,FESTIVE20,20,399.6,0,1998.0,1598.4
27,26,2025-10-06 17:05:00,COD,RTO,REF10,10,69.9,49,699.0,678.1
28,27,2025-10-06 17:13:00,COD,Delivered,REF10,10,449.8,0,4498.0,4048.2
29,28,2025-10-08 14:22:00,COD,Delivered,NONE,0,0.0,0,3298.0,3298.0
30,29,2025-10-09 22:14:00,COD,Delivered,NONE,0,0.0,0,3198.0,3198.0
31,30,2025-10-09 18:04:00,COD,Delivered,NONE,0,0.0,49,1299.0,1348.0
32,31,2025-10-09 10:38:00,COD,Delivered,NONE,0,0.0,0,5697.0,5697.0
33,32,2025-10-11 17:25:00,COD,Delivered,WELCOME10,10,219.9,0,2199.0,1979.1
34,33,2025-10-11 20:58:00,COD,Delivered,NONE,0,0.0,0,1499.0,1499.0
35,34,2025-10-11 13:27:00,COD,RTO,NONE,0,0.0,0,6697.0,6697.0
36,35,2025-10-11 17:49:00,COD,Delivered,REF10,10,159.9,49,1599.0,1488.1
37,36,2025-10-11 08:26:00,COD,Delivered,FESTIVE20,20,339.6,49,1698.0,1407.4
38,37,2025-10-12 20:29:00,COD,Delivered,NONE,0,0.0,0,6496.0,6496.0
39,38,2025-10-12 16:36:00,Prepaid,Delivered,LAUNCH15,15,449.55,0,2997.0,2547.45
40,39,2025-10-14 15:41:00,Prepaid,Delivered,REF10,10,119.9,0,1199.0,1079.1
41,22,2025-10-14 12:12:00,Prepaid,Delivered,NONE,0,0.0,0,1299.0,1299.0
42,40,2025-10-14 17:44:00,COD,Delivered,REF10,10,69.9,49,699.0,678.1
43,18,2025-10-15 08:20:00,COD,Delivered,WELCOME10,10,249.8,0,2498.0,2248.2
44,41,2025-10-15 15:20:00,COD,Delivered,NONE,0,0.0,0,1499.0,1499.0
45,42,2025-10-16 12:10:00,COD,Delivered,WELCOME10,10,99.9,49,999.0,948.1
46,43,2025-10-16 11:32:00,COD,RTO,REF10,10,609.7,0,6097.0,5487.3
47,44,2025-10-16 15:55:00,COD,RTO,NONE,0,0.0,49,999.0,1048.0
48,45,2025-10-16 11:28:00,COD,Delivered,REF10,10,199.8,0,1998.0,1798.2
49,46,2025-10-17 12:09:00,COD,RTO,NONE,0,0.0,0,2997.0,2997.0
50,47,2025-10-17 17:37:00,COD,Delivered,REF10,10,199.8,0,1998.0,1798.2
51,48,2025-10-17 16:37:00,COD,Delivered,REF10,10,449.8,0,4498.0,4048.2
52,49,2025-10-18 13:52:00,COD,Returned,NONE,0,0.0,0,1499.0,1499.0
53,50,2025-10-18 18:41:00,Prepaid,Delivered,NONE,0,0.0,0,999.0,999.0
54,51,2025-10-18 20:08:00,COD,Delivered,FESTIVE20,20,599.6,0,2998.0,2398.4
55,52,2025-10-18 12:04:00,Prepaid,Delivered,NONE,0,0.0,0,699.0,699.0
56,53,2025-10-19 14:48:00,COD,RTO,FESTIVE20,20,1079.4,0,5397.0,4317.6
57,41,2025-10-19 16:09:00,Prepaid,Delivered,NONE,0,0.0,0,7296.0,7296.0
58,33,2025-10-20 08:57:00,COD,Delivered,NONE,0,0.0,49,699.0,748.0
59,54,2025-10-21 23:22:00,COD,Delivered,FESTIVE20,20,439.8,0,2199.0,1759.2
60,55,2025-10-21 12:51:00,COD,Delivered,LAUNCH15,15,149.85,49,999.0,898.15
61,56,2025-10-21 23:20:00,COD,Cancelled,LAUNCH15,15,404.7,0,2698.0,2293.3
62,57,2025-10-22 15:05:00,COD,Delivered,NONE,0,0.0,0,4498.0,4498.0
63,58,2025-10-22 19:21:00,COD,Delivered,NONE,0,0.0,0,4197.0,4197.0
64,59,2025-10-22 12:30:00,Prepaid,Delivered,NONE,0,0.0,0,999.0,999.0
65,60,2025-10-23 08:33:00,COD,Delivered,WELCOME10,10,129.9,49,1299.0,1218.1
66,61,2025-10-23 17:10:00,Prepaid,Delivered,NONE,0,0.0,0,1499.0,1499.0
67,62,2025-10-23 08:21:00,Prepaid,Delivered,NONE,0,0.0,0,1499.0,1499.0
68,63,2025-10-23 11:35:00,COD,Delivered,NONE,0,0.0,49,999.0,1048.0
69,62,2025-10-23 21:35:00,COD,RTO,NONE,0,0.0,49,1199.0,1248.0
70,64,2025-10-24 12:57:00,COD,Cancelled,WELCOME10,10,229.9,0,2299.0,2069.1
71,65,2025-10-25 18:02:00,COD,Delivered,NONE,0,0.0,0,3198.0,3198.0
72,66,2025-10-26 15:13:00,COD,Delivered,NONE,0,0.0,0,3498.0,3498.0
73,67,2025-10-26 08:52:00,COD,RTO,WELCOME10,10,69.9,49,699.0,678.1
74,68,2025-10-26 17:05:00,COD,Delivered,NONE,0,0.0,49,999.0,1048.0
75,57,2025-10-27 13:21:00,COD,Returned,LAUNCH15,15,164.85,49,1099.0,983.15
76,69,2025-10-28 13:47:00,Prepaid,Delivered,WELCOME10,10,199.8,0,1998.0,1798.2
77,70,2025-10-28 14:02:00,COD,Delivered,NONE,0,0.0,0,2198.0,2198.0
78,71,2025-10-28 12:29:00,COD,Delivered,NONE,0,0.0,49,1299.0,1348.0
79,72,2025-10-29 14:55:00,COD,RTO,NONE,0,0.0,0,2298.0,2298.0
80,73,2025-10-30 14:51:00,COD,RTO,WELCOME10,10,69.9,49,699.0,678.1
81,74,2025-11-01 13:45:00,COD,Delivered,NONE,0,0.0,49,699.0,748.0
82,75,2025-11-01 15:34:00,COD,RTO,NONE,0,0.0,0,2298.0,2298.0
83,76,2025-11-01 21:40:00,COD,Delivered,NONE,0,0.0,49,999.0,1048.0
84,77,2025-11-02 14:16:00,COD,RTO,NONE,0,0.0,0,1998.0,1998.0
85,78,2025-11-02 18:12:00,COD,Delivered,WELCOME10,10,129.9,49,1299.0,1218.1
86,79,2025-11-02 18:01:00,COD,RTO,WELCOME10,10,319.8,0,3198.0,2878.2
87,80,2025-11-03 15:16:00,Prepaid,Delivered,NONE,0,0.0,0,999.0,999.0
88,81,2025-11-03 12:43:00,Prepaid,Delivered,FESTIVE20,20,679.2,0,3396.0,2716.8
89,82,2025-11-04 11:21:00,Prepaid,Delivered,WELCOME10,10,99.9,0,999.0,899.1
90,26,2025-11-04 15:38:00,COD,RTO,NONE,0,0.0,0,3198.0,3198.0
91,83,2025-11-04 15:49:00,COD,Delivered,NONE,0,0.0,0,3498.0,3498.0
92,84,2025-11-05 18:28:00,Prepaid,RTO,WELCOME10,10,149.9,0,1499.0,1349.1
93,85,2025-11-06 14:13:00,COD,Cancelled,NONE,0,0.0,0,1499.0,1499.0
94,86,2025-11-06 11:35:00,COD,Delivered,NONE,0,0.0,0,2098.0,2098.0
95,66,2025-11-07 21:37:00,COD,Delivered,NONE,0,0.0,0,3997.0,3997.0
96,87,2025-11-07 08:09:00,COD,RTO,LAUNCH15,15,179.85,49,1199.0,1068.15
97,88,2025-11-08 08:26:00,COD,Delivered,WELCOME10,10,199.8,0,1998.0,1798.2
98,89,2025-11-08 12:28:00,COD,Returned,REF10,10,99.9,49,999.0,948.1
99,90,2025-11-09 10:10:00,COD,RTO,LAUNCH15,15,149.85,49,999.0,898.15
