product_id,product_name,collection,category,price,unit_cost
1,Oversized Tee - Noir,Noir,Tee,999,519.0
2,Oversized Tee - Blanc,Blanc,Tee,999,519.0
3,Terry Oversized Tee,Noir,Tee,1299,650.0
4,Acid Wash Tee,Noir,Tee,1199,576.0
5,Men's Polo,Blanc,Polo,1099,550.0
6,Oversized Shirt,Noir,Shirt,1599,752.0
7,Sweatpants,Noir,Bottoms,1499,735.0
8,Baseball Cap,Blanc,Accessory,699,384.0
9,Terry Shorts,Blanc,Bottoms,999,500.0
10,Noir Starter Combo,Noir,Combo,2199,1121.0
11,Blanc Essentials Combo,Blanc,Combo,2299,1150.0
12,Full Fit Combo,Noir,Combo,3499,1715.0
